Gender,Age range,Current role,Campus,Affiliation,Programming experience,Data analytics experience,"Experience using tools like Python, Colab, etc.",Experience using ChatGPT in general,Experience using ChatGPT for programming,Experience using ChatGPT for data analytics,Experience using generative APIs,Time required to finish activity 1,Time required to finish activity 2,Time required to finish activity 3,Ease of use,Speed of result,Appropriateness,Helpful,Correctness
Female,31 to 35 years,Professional,CCM,Architecture,Yes,Yes,Yes,Yes,Yes,Some,No,15 to 30 minutes,15 to 30 minutes,15 to 30 minutes,Traditional method,LIDA with GPT integration,LIDA with GPT integration,A lot,LIDA with GPT integration
Female,21 to 22 years,Student,CEM,Humanities and Education,Some,Some,Some,Some,Some,Some,Some,More than 30 minutes,10 to 15 minutes,15 to 30 minutes,ChatGPT as an external assistant,ChatGPT as an external assistant,LIDA with GPT integration,A little,Traditional method
Male,21 to 22 years,Student,CEM,Business,Yes,Yes,Yes,Yes,Yes,Yes,Yes,15 to 30 minutes,15 to 30 minutes,10 to 15 minutes,ChatGPT as an external assistant,LIDA with GPT integration,LIDA with GPT integration,"Yes, enough",LIDA with GPT integration
Male,21 to 22 years,Student,CEM,Business,Yes,Yes,Yes,Yes,Yes,Yes,Yes,15 to 30 minutes,10 to 15 minutes,10 to 15 minutes,ChatGPT as an external assistant,ChatGPT as an external assistant,ChatGPT as an external assistant,"Yes, enough",ChatGPT as an external assistant
Male,21 to 22 years,Student,CEM,Business,Yes,Yes,Yes,Yes,Yes,Yes,Yes,15 to 30 minutes,15 to 30 minutes,More than 30 minutes,LIDA with GPT integration,LIDA with GPT integration,LIDA with GPT integration,A little,LIDA with GPT integration
Male,21 to 22 years,Student,CEM,Business,Yes,Yes,Yes,Yes,Yes,Yes,Yes,More than 30 minutes,10 to 15 minutes,5 to 10 minutes,ChatGPT as an external assistant,ChatGPT as an external assistant,ChatGPT as an external assistant,A lot,LIDA with GPT integration
Male,21 to 22 years,Student,CEM,Business,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5 to 10 minutes,5 to 10 minutes,5 to 10 minutes,LIDA with GPT integration,LIDA with GPT integration,LIDA with GPT integration,"Yes, enough",LIDA with GPT integration
Male,21 to 22 years,Student,CEM,Business,Some,Yes,Yes,Yes,Yes,Yes,Yes,15 to 30 minutes,15 to 30 minutes,15 to 30 minutes,LIDA with GPT integration,LIDA with GPT integration,LIDA with GPT integration,"Yes, enough",LIDA with GPT integration
Female,21 to 22 years,Student,CEM,Business,Yes,Some,Yes,Yes,Yes,Yes,Yes,15 to 30 minutes,Less than 5 minutes,5 to 10 minutes,ChatGPT as an external assistant,ChatGPT as an external assistant,LIDA with GPT integration,"Yes, enough",LIDA with GPT integration
Male,21 to 22 years,Student,CEM,Business,Yes,Yes,Yes,Yes,Some,Some,Some,10 to 15 minutes,10 to 15 minutes,10 to 15 minutes,ChatGPT as an external assistant,ChatGPT as an external assistant,LIDA with GPT integration,"Yes, enough",ChatGPT as an external assistant
Female,23 to 25 years,Student,CEM,Business,Yes,Yes,Yes,Yes,Yes,Yes,Yes,15 to 30 minutes,10 to 15 minutes,10 to 15 minutes,LIDA with GPT integration,LIDA with GPT integration,LIDA with GPT integration,"Yes, enough",LIDA with GPT integration
Male,21 to 22 years,Student,CEM,Business,Yes,Yes,Yes,Yes,Yes,Yes,Yes,15 to 30 minutes,Less than 5 minutes,Less than 5 minutes,ChatGPT as an external assistant,ChatGPT as an external assistant,LIDA with GPT integration,"Yes, enough",LIDA with GPT integration
Male,21 to 22 years,Student,CEM,Business,Yes,Some,Some,Some,Yes,Yes,No,15 to 30 minutes,10 to 15 minutes,15 to 30 minutes,ChatGPT as an external assistant,LIDA with GPT integration,ChatGPT as an external assistant,"Yes, enough",ChatGPT as an external assistant
Male,21 to 22 years,Student,CEM,Business,Some,Some,Yes,Some,Yes,Yes,Yes,15 to 30 minutes,10 to 15 minutes,10 to 15 minutes,ChatGPT as an external assistant,ChatGPT as an external assistant,LIDA with GPT integration,"Yes, enough",ChatGPT as an external assistant
Male,21 to 22 years,Student,CEM,Business,Yes,Yes,Yes,Yes,Some,Some,Yes,10 to 15 minutes,15 to 30 minutes,10 to 15 minutes,ChatGPT as an external assistant,LIDA with GPT integration,LIDA with GPT integration,"Yes, enough",Traditional method
Male,18 to 20 years,Student,CEM,Business,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 to 15 minutes,Less than 5 minutes,More than 30 minutes,ChatGPT as an external assistant,ChatGPT as an external assistant,ChatGPT as an external assistant,"Yes, enough",ChatGPT as an external assistant
Male,21 to 22 years,Student,CEM,Business,Yes,Some,Some,Yes,Yes,Yes,Some,15 to 30 minutes,15 to 30 minutes,15 to 30 minutes,ChatGPT as an external assistant,ChatGPT as an external assistant,LIDA with GPT integration,"Yes, enough",LIDA with GPT integration
Male,21 to 22 years,Student,CEM,Business,Some,Some,Some,Some,Some,Some,Some,More than 30 minutes,15 to 30 minutes,More than 30 minutes,ChatGPT as an external assistant,ChatGPT as an external assistant,Traditional method,A lot,Traditional method
Female,21 to 22 years,Student,CEM,Business,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 to 15 minutes,10 to 15 minutes,10 to 15 minutes,LIDA with GPT integration,Traditional method,LIDA with GPT integration,A lot,LIDA with GPT integration
Male,21 to 22 years,Student,CEM,Business,Yes,Yes,Yes,Yes,Yes,Some,No,More than 30 minutes,10 to 15 minutes,More than 30 minutes,ChatGPT as an external assistant,ChatGPT as an external assistant,ChatGPT as an external assistant,"Yes, enough",ChatGPT as an external assistant
Male,18 to 20 years,Student,CEM,Business,Yes,Yes,Yes,No,Some,Yes,Yes,More than 30 minutes,15 to 30 minutes,15 to 30 minutes,ChatGPT as an external assistant,ChatGPT as an external assistant,ChatGPT as an external assistant,A lot,ChatGPT as an external assistant
Female,18 to 20 years,Student,CEM,Business,Yes,Yes,Yes,Yes,Yes,Yes,Yes,More than 30 minutes,5 to 10 minutes,More than 30 minutes,ChatGPT as an external assistant,ChatGPT as an external assistant,ChatGPT as an external assistant,A little,ChatGPT as an external assistant
Female,40 to 50 years,Professional,Did not respond,Engineering and Sciences,Yes,Some,Yes,Yes,Yes,No,No,5 to 10 minutes,5 to 10 minutes,5 to 10 minutes,ChatGPT as an external assistant,ChatGPT as an external assistant,LIDA with GPT integration,A lot,LIDA with GPT integration
Female,26 to 30 years,Professional,PREPA TEC EGL,Highschool Education,Some,No,No,Some,No,No,No,10 to 15 minutes,10 to 15 minutes,10 to 15 minutes,ChatGPT as an external assistant,Traditional method,ChatGPT as an external assistant,"Yes, enough",ChatGPT as an external assistant
Male,31 to 35 years,Professional,Did not respond,Highschool Education,Yes,No,Some,Yes,No,No,Yes,10 to 15 minutes,10 to 15 minutes,More than 30 minutes,ChatGPT as an external assistant,ChatGPT as an external assistant,ChatGPT as an external assistant,A lot,ChatGPT as an external assistant
Female,Over 50 years,Professional,CEM,Engineering and Sciences,Yes,Yes,Yes,Yes,Yes,Some,Yes,5 to 10 minutes,Less than 5 minutes,5 to 10 minutes,ChatGPT as an external assistant,LIDA with GPT integration,LIDA with GPT integration,A lot,LIDA with GPT integration
Male,35 to 40 years,Professional,QRO,Engineering and Sciences,Yes,No,No,Yes,Yes,No,Yes,10 to 15 minutes,5 to 10 minutes,5 to 10 minutes,LIDA with GPT integration,ChatGPT as an external assistant,LIDA with GPT integration,"Yes, enough",ChatGPT as an external assistant
Female,18 to 20 years,Student,CEM,Social Sciences and Government,Yes,Yes,Yes,No,No,No,No,15 to 30 minutes,15 to 30 minutes,15 to 30 minutes,ChatGPT as an external assistant,ChatGPT as an external assistant,ChatGPT as an external assistant,A lot,ChatGPT as an external assistant
Female,18 to 20 years,Student,CEM,Social Sciences and Government,Yes,Yes,Yes,Some,Some,Some,No,15 to 30 minutes,10 to 15 minutes,10 to 15 minutes,ChatGPT as an external assistant,LIDA with GPT integration,LIDA with GPT integration,"Yes, enough",LIDA with GPT integration
Female,18 to 20 years,Student,CEM,Social Sciences and Government,Yes,No,Yes,Yes,Yes,Some,Yes,15 to 30 minutes,15 to 30 minutes,15 to 30 minutes,ChatGPT as an external assistant,ChatGPT as an external assistant,LIDA with GPT integration,A little,LIDA with GPT integration
Female,18 to 20 years,Student,CEM,Social Sciences and Government,Some,Yes,Yes,Yes,Yes,Some,No,15 to 30 minutes,10 to 15 minutes,15 to 30 minutes,ChatGPT as an external assistant,ChatGPT as an external assistant,ChatGPT as an external assistant,"Yes, enough",ChatGPT as an external assistant
Female,18 to 20 years,Student,CEM,Social Sciences and Government,Yes,Some,Yes,No,No,No,No,More than 30 minutes,5 to 10 minutes,More than 30 minutes,ChatGPT as an external assistant,ChatGPT as an external assistant,Traditional method,A lot,Traditional method
Female,18 to 20 years,Student,CEM,Social Sciences and Government,Yes,Some,Yes,Yes,No,No,Some,15 to 30 minutes,5 to 10 minutes,15 to 30 minutes,LIDA with GPT integration,ChatGPT as an external assistant,LIDA with GPT integration,A lot,Traditional method
Female,18 to 20 years,Student,CEM,Social Sciences and Government,Yes,Some,Yes,Some,No,Some,Some,10 to 15 minutes,10 to 15 minutes,15 to 30 minutes,ChatGPT as an external assistant,ChatGPT as an external assistant,LIDA with GPT integration,"Yes, enough",LIDA with GPT integration
Female,18 to 20 years,Student,CEM,Social Sciences and Government,Yes,Yes,Yes,Some,Some,Some,Yes,5 to 10 minutes,5 to 10 minutes,10 to 15 minutes,ChatGPT as an external assistant,ChatGPT as an external assistant,LIDA with GPT integration,A lot,LIDA with GPT integration
Female,21 to 22 years,Student,CEM,Social Sciences and Government,Some,Some,Yes,No,Yes,No,No,15 to 30 minutes,15 to 30 minutes,More than 30 minutes,ChatGPT as an external assistant,Traditional method,LIDA with GPT integration,A lot,LIDA with GPT integration
Male,18 to 20 years,Student,CEM,Engineering and Sciences,Some,Some,Yes,Some,Some,Some,Some,15 to 30 minutes,10 to 15 minutes,More than 30 minutes,ChatGPT as an external assistant,LIDA with GPT integration,Traditional method,A lot,Traditional method
Male,18 to 20 years,Student,CEM,Social Sciences and Government,Yes,Some,Yes,Yes,No,No,Yes,15 to 30 minutes,10 to 15 minutes,More than 30 minutes,ChatGPT as an external assistant,ChatGPT as an external assistant,ChatGPT as an external assistant,A little,LIDA with GPT integration
Female,18 to 20 years,Student,Did not respond,Social Sciences and Government,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 to 15 minutes,5 to 10 minutes,15 to 30 minutes,ChatGPT as an external assistant,ChatGPT as an external assistant,ChatGPT as an external assistant,"Yes, enough",ChatGPT as an external assistant
Female,18 to 20 years,Student,CEM,Social Sciences and Government,Some,Some,Some,No,Yes,Yes,Yes,More than 30 minutes,10 to 15 minutes,10 to 15 minutes,ChatGPT as an external assistant,ChatGPT as an external assistant,Traditional method,"Yes, enough",Traditional method
Female,18 to 20 years,Student,CEM,Social Sciences and Government,Some,Some,Yes,No,No,No,No,5 to 10 minutes,15 to 30 minutes,15 to 30 minutes,ChatGPT as an external assistant,Traditional method,LIDA with GPT integration,"Yes, enough",LIDA with GPT integration
Male,18 to 20 years,Student,CEM,Social Sciences and Government,Some,Some,Yes,Yes,Some,Some,Some,15 to 30 minutes,5 to 10 minutes,5 to 10 minutes,ChatGPT as an external assistant,ChatGPT as an external assistant,ChatGPT as an external assistant,"Yes, enough",ChatGPT as an external assistant
Female,21 to 22 years,Student,CEM,Social Sciences and Government,Some,Yes,Some,No,No,No,No,10 to 15 minutes,10 to 15 minutes,15 to 30 minutes,ChatGPT as an external assistant,ChatGPT as an external assistant,ChatGPT as an external assistant,A lot,ChatGPT as an external assistant
Female,23 to 25 years,Student,CEM,Social Sciences and Government,Some,Some,Some,No,No,No,No,More than 30 minutes,More than 30 minutes,15 to 30 minutes,LIDA with GPT integration,LIDA with GPT integration,LIDA with GPT integration,A lot,LIDA with GPT integration
Female,18 to 20 years,Student,CEM,Social Sciences and Government,Some,Some,Yes,No,No,No,Yes,10 to 15 minutes,5 to 10 minutes,10 to 15 minutes,Traditional method,LIDA with GPT integration,Traditional method,A lot,LIDA with GPT integration
Female,18 to 20 years,Student,CEM,Social Sciences and Government,Yes,Yes,Yes,Some,No,Some,Some,10 to 15 minutes,5 to 10 minutes,10 to 15 minutes,ChatGPT as an external assistant,ChatGPT as an external assistant,LIDA with GPT integration,A lot,LIDA with GPT integration
Male,18 to 20 years,Student,CEM,Social Sciences and Government,Some,Yes,Yes,Yes,Some,Some,Yes,15 to 30 minutes,5 to 10 minutes,10 to 15 minutes,ChatGPT as an external assistant,ChatGPT as an external assistant,LIDA with GPT integration,"Yes, enough",LIDA with GPT integration
I prefer not to tell,18 to 20 years,Student,CEM,Social Sciences and Government,Some,No,Yes,Yes,Some,Some,Yes,15 to 30 minutes,10 to 15 minutes,10 to 15 minutes,ChatGPT as an external assistant,ChatGPT as an external assistant,ChatGPT as an external assistant,A little,LIDA with GPT integration
Male,18 to 20 years,Student,CEM,Social Sciences and Government,Yes,Yes,Yes,Yes,Some,No,Some,15 to 30 minutes,Less than 5 minutes,Less than 5 minutes,ChatGPT as an external assistant,ChatGPT as an external assistant,LIDA with GPT integration,"Yes, enough",ChatGPT as an external assistant
